 section index, x coordinate [mm], halpha [W/m^2/K], halpha_c [W/m^2/K], q_rad [W/m^2], q_total [W/m^2], T_wall_i [K], T_coolant [K], P_coolant [Pa], Re_coolant, v_coolant [m/s], T_hg (cinjarev) [K]
<<<<<<< Updated upstream
0,-92.23590898655448,320.4514711108545,12329.18562664263,163493.48662518547,654398.1273175873,441.13250945609633,360.24138910597935,4984259.570545302,22246.82069315734,1.853709059338738,1969.2317398281027
1,-89.73590898655448,320.5928891616104,12255.632139063584,163493.48662518547,654805.4844856311,440.57864882791495,359.38991298375095,4984349.251127507,22040.58760494133,1.846620420379654,1969.2317398281027
2,-87.23590898655448,320.732822737823,12183.230732094631,163493.48662518547,655194.6704848149,440.01612737262735,358.5319048813892,4984438.606805835,21836.34502542288,1.839623891680792,1969.2317398281027
3,-84.73590898655448,320.87435705838567,12111.803862452305,163493.48662518547,655588.118466038,439.44849338846643,357.6677643091873,4984527.642054168,21633.93114434274,1.8327170753302362,1969.2317398281027
4,-82.23590898655448,321.017340605095,12041.252813557054,163493.48662518547,655985.3312648912,438.8762860534883,356.7975761896174,4984616.361245357,21433.224881242488,1.8258977885508643,1969.2317398281027
5,-79.73590898655448,321.1586001565414,11971.54515200429,163493.48662518547,656365.7660670838,438.2988048260082,355.92141826294244,4984704.7686586045,21234.199585525872,1.819165711745284,1969.2317398281027
6,-77.23590898655446,321.304626338303,11902.640202101311,163493.48662518547,656771.6972289342,437.71775713170257,355.03959575881765,4984792.868561387,21036.764874161803,1.812516999896772,1969.2317398281027
7,-74.73590898655446,321.45208316936606,11834.532975906286,163493.48662518547,657181.5930247107,437.13257076242587,354.1519464887737,4984880.665044859,20840.921916734565,1.805949619892932,1969.2317398281027
8,-72.23590898655446,321.60083044446833,11767.226991801841,163493.48662518547,657595.3350513433,436.5442529965701,353.2585330141684,4984968.162103148,20646.700341810196,1.7994613512895645,1969.2317398281027
9,-69.73590898655446,321.7511101418452,11700.736753462794,163493.48662518547,658012.9893774582,435.951029419353,352.35938667096553,4985055.363621398,20454.16989385142,1.7930503744211002,1969.2317398281027
10,-67.23590898655446,321.90294776115235,11635.081768004235,163493.48662518547,658434.6302548392,435.3528513958298,351.4545880390984,4985142.273390932,20263.42224710486,1.7867148965636173,1969.2317398281027
11,-64.73590898655446,322.05643111981794,11570.285919871774,163493.48662518547,658860.4164678189,434.7492894776925,350.54421607682,4985228.895107848,20074.56571947795,1.7804532338254049,1969.2317398281027
12,-62.235908986554456,322.2116019177424,11506.375427849116,163493.48662518547,659290.4872400535,434.1402602707525,349.6283585175358,4985315.23237593,19887.715384654286,1.7742637465639786,1969.2317398281027
13,-59.735908986554456,322.36876525683357,11443.380300693405,163493.48662518547,659725.3864168115,433.5241117393867,348.7071016653156,4985401.288707311,19702.9941075582,1.7681451301354896,1969.2317398281027
14,-57.23590898655445,322.5276721939824,11381.326073780596,163493.48662518547,660164.8836831353,432.90259541208945,347.7805738269958,4985487.06753705,19520.506371953445,1.7620957865226425,1969.2317398281027
15,-54.73590898655445,322.68792171414833,11320.232552924555,163493.48662518547,660607.8644505341,432.2772026130948,346.8488509414732,4985572.572209941,19340.3338850453,1.756113887163978,1969.2317398281027
16,-52.23590898655445,322.8494800177833,11260.113735300049,163493.48662518547,661054.6749053164,431.64839953935393,345.91196205287457,4985657.805970954,19162.535981536068,1.7501975570081756,1969.2317398281027
17,-49.73590898655444,323.01242338636075,11200.977665230374,163493.48662518547,661505.338823696,431.01588103698253,344.96991558465663,4985742.771964699,18987.150901059384,1.7443450480211977,1969.2317398281027
18,-47.23590898655444,323.17700810179554,11142.827219271076,163493.48662518547,661960.0118447895,430.3778797447321,344.0227270442949,4985827.473243348,18814.200520285132,1.7385549882876992,1969.2317398281027
19,-44.73590898655444,323.3429697264673,11085.652693115297,163493.48662518547,662418.4776493903,429.7362363686432,343.0704621636761,4985911.912786276,18643.670944980353,1.7328257803179312,1969.2317398281027
20,-42.235908986554435,323.5107241936378,11029.410843222518,163493.48662518547,662881.689305079,429.08938559943687,342.113140744895,4985996.093492846,18475.452104962504,1.7271535575180375,1969.2317398281027
21,-39.735908986554435,325.4223414411666,11007.605709399118,163345.8561823987,665874.2612247963,428.453923634632,341.1503843804264,4986080.055067643,18349.522471347864,1.7263615876099534,1969.2305446040762
22,-37.235908986554435,330.4216931693693,11043.942729964996,162945.0721277923,673406.6824746025,427.58424190300286,340.17712275856377,4986164.531891893,18292.708293984837,1.7338943476130022,1969.2272222962915
23,-34.735908986554435,338.3906542370372,11140.694309777338,162283.89193159726,684847.1988498884,427.8850067234954,339.1847009077148,4986250.685225116,18305.30558661353,1.750110390473037,1969.221484489689
24,-32.23590898655443,350.7180951925491,11314.65728979394,161324.526977444,703026.5260087535,426.24167483038957,338.1668417130729,4986339.863321021,18414.784381399575,1.7771969782243964,1969.2125541113103
25,-29.735908986554428,367.5018198048827,11568.990457844524,160044.5925330635,727330.2275285609,429.0766979463177,337.2250625869863,4986433.730778203,18608.984024133642,1.8158532021026657,1969.1994216830697
26,-27.235908986554424,390.017386069565,11911.6714942755,158441.75746451525,760224.8200957072,428.4155734394341,336.24151251227323,4986534.153895181,18893.146382104565,1.867141281703545,1969.1807684909395
27,-24.73590898655442,420.3028156097401,12367.413230263372,156447.55789184204,804660.385675659,428.9036083972089,335.2290281895839,4986643.71586883,19282.97269506603,1.9345993193810973,1969.1535814410236
28,-22.23590898655442,460.74221395168877,12968.79658320065,153993.5484535647,863640.6956712039,431.5157517926879,334.1430271401917,4986765.984607753,19800.204039285993,2.0227478200083504,1969.112832613907
29,-19.735908986554417,515.3359272000293,13747.723981279785,151040.37235381966,943551.2563089683,433.52543215532535,332.9624132566053,4986905.622519578,20456.462751402512,2.1359244350883175,1969.0503952456188
30,-17.235908986554417,591.9451693822324,14821.693355922695,147365.72984863666,1054111.2980118974,439.04204925282676,331.64639047311744,4987070.867233545,21365.92612860435,2.289636938549257,1968.9456755487724
31,-14.735908986554414,703.5067529027355,16268.41623898694,142870.42130788745,1216326.6288967615,444.6692913414387,330.3958362137252,4987273.293486894,22520.634086835275,2.4943364883964696,1968.760341522366
32,-12.235908986554412,876.9805713553889,18368.088124743754,137044.90087628263,1463502.2483726344,457.54081731717747,328.92817440126976,4987535.872203116,24072.88450021601,2.7867736476534177,1968.3782413988079
33,-9.73590898655441,1175.2670942599198,21596.51083432695,129171.90912805291,1886859.5845555826,473.9697896313567,327.1749052006622,4987900.218409089,26258.519020213582,3.225546009110321,1967.4426367537542
